GeneSym	EnsembleID	GO_anno
BPIFB1	ENSP00000253354	extracellular region part
CPB2	ENSP00000181383	extracellular region part
C2	ENSP00000372853	extracellular region part
DMKN	ENSP00000342012	extracellular region part
FSTL1	ENSP00000295633	extracellular region part
IGFBP7	ENSP00000295666	extracellular region part
CPNE9	ENSP00000373343	extracellular region part
POTEJ	ENSP00000387176	extracellular region part
GDF2	ENSP00000249598	extracellular region part
FETUB	ENSP00000265029	extracellular region part
SCGB3A1	ENSP00000292641	extracellular region part
KLK12	ENSP00000250351	extracellular region part
SERPINA6	ENSP00000342850	extracellular region part
SERPINI1	ENSP00000295777	extracellular region part
SERPINI2	ENSP00000264677	extracellular region part
SERPINA4	ENSP00000298841	extracellular region part
SERPINA10	ENSP00000261994	extracellular region part
RNASE3	ENSP00000302324	extracellular region part
C1RL	ENSP00000266542	extracellular region part
ANGPTL1	ENSP00000234816	extracellular region part
SERPIND1	ENSP00000215727	extracellular region part
ANGPTL2	ENSP00000362524	extracellular region part
SERPINA7	ENSP00000329374	extracellular region part
TWSG1	ENSP00000262120	extracellular region part
FAM3B	ENSP00000350673	extracellular region part
GDF15	ENSP00000252809	extracellular region part
IL18BP	ENSP00000260049	extracellular region part
CCL28	ENSP00000354416	extracellular region part
SERPINF1	ENSP00000254722	extracellular region part
LYZ	ENSP00000261267	extracellular region part
TFF2	ENSP00000291526	extracellular region part
LCN1	ENSP00000263598	extracellular region part
LCN2	ENSP00000277480	extracellular region part
TAC3	ENSP00000300108	extracellular region part
METRNL	ENSP00000315731	extracellular region part
AMY2B	ENSP00000341734	extracellular region part
GPX3	ENSP00000373477	extracellular region part
CST4	ENSP00000217423	extracellular region part
SPINK1	ENSP00000296695	extracellular region part
SOGA1	ENSP00000279034	extracellular region part
PCOLCE	ENSP00000223061	extracellular region part
SMR3B	ENSP00000302400	extracellular region part
SMPDL3B	ENSP00000363001	extracellular region part
SMPDL3A	ENSP00000357425	extracellular region part
SLURP1	ENSP00000246515	extracellular region part
KLK14	ENSP00000156499	extracellular region part
PRSS3	ENSP00000354280	extracellular region part
PGC	ENSP00000362116	extracellular region part
CD5L	ENSP00000357156	extracellular region part
CFI	ENSP00000378130	extracellular region part
SPINT1	ENSP00000342098	extracellular region part
LRG1	ENSP00000302621	extracellular region part
SEMA3C	ENSP00000265361	extracellular region part
